net,length_um
clknet_5_2__leaf_clk,356.63µm
net674,355.87µm
net374,355.77µm
net353,354.66µm
_12534_,354.39µm
net224,354.23µm
_12848_,354.19µm
clknet_5_21__leaf_clk,353.47µm
_06858_,353.38µm
net568,353.34µm
_19641_,353.33µm
clknet_5_7__leaf_clk,352.96µm
_22142_,352.91µm
net1887,352.82µm
_22562_,352.72µm
net1892,352.6µm
_20820_,352.46µm
clknet_5_8__leaf_clk,352.45µm
_09733_,352.34µm
_20794_,352.21µm
_20137_,351.94µm
net642,351.81µm
_12772_,351.42µm
net481,351.28µm
net641,350.94µm
net624,350.77µm
_15125_,350.49µm
_19572_,350.47µm
net630,350.23µm
_19583_,350.04µm
_08585_,349.91µm
_12409_,349.76µm
_08430_,349.265µm
_20852_,349.24µm
_20530_,348.88µm
_10172_,348.175µm
clknet_5_24__leaf_clk,348.06µm
clknet_5_26__leaf_clk,347.88µm
_15933_,347.87µm
net719,347.65µm
net612,346.7µm
net259,346.59µm
_19466_,345.855µm
_19452_,345.15µm
net1713,345.12µm
_14625_,344.78µm
net620,344.63µm
_12341_,344.5µm
_14640_,344.24µm
_19552_,344.15µm
_14633_,343.88µm
_07724_,343.61µm
net581,343.575µm
net711,342.52µm
net610,342.49µm
_08320_,341.55µm
net860,341.47µm
_14519_,341.38µm
tick_pulse_r_ctrl,341.24µm
_19540_,341.16µm
net708,340.68µm
_12675_,340.58µm
net284,340.39µm
net1180,340.04µm
net633,339.52µm
net580,339.43µm
_12805_,339.405µm
_15204_,339.19µm
_14665_,338.92µm
net185,338.56µm
_19563_,338.5µm
_09077_,337.87µm
_12279_,337.86µm
_10494_,337.52µm
net241,337.45µm
_22153_,337.18µm
_20086_,337.12µm
_19515_,336.92µm
net718,336.17µm
_08624_,335.51µm
_12908_,335.48µm
net407,335.12µm
net418,335.05µm
_08872_,334.97µm
_17495_,334.93µm
_12455_,334.4µm
_22434_,333.46µm
_12524_,332.88µm
_15987_,332.55µm
_08343_,332.33µm
_10430_,332.28µm
_19816_,332.2µm
net834,332.16µm
net131,331.91µm
_08965_,331.36µm
_13329_,331.29µm
_11948_,331.12µm
net457,331.08µm
net197,330.96µm
net672,330.45µm
net68,330.37µm
_09427_,330.01µm
_12421_,329.94µm
net1125,329.595µm
_15251_,329.29µm
_15348_,329.26µm
net669,329.14µm
net472,329.025µm
_21003_,328.97µm
net247,328.88µm
_19649_,328.65µm
_17529_,328.49µm
_20864_,328.34µm
clknet_5_29__leaf_clk,328.32µm
_19463_,328.1µm
net640,328.03µm
net261,328µm
_13855_,327.96µm
_15050_,327.94µm
_20855_,327.7µm
net87,327.62µm
_15276_,327.59µm
net172,327.45µm
_03657_,327.2µm
net163,327.18µm
_09977_,326.99µm
net139,326.83µm
_07069_,326.7µm
clknet_5_16__leaf_clk,326.32µm
_13233_,326.28µm
_09347_,326.24µm
net1244,325.96µm
_08470_,325.92µm
_19550_,325.92µm
_12212_,325.89µm
_03071_,325.865µm
net676,325.84µm
_19686_,325.81µm
_21868_,325.79µm
_14657_,325.31µm
